"gene_name","gene_ensembl_id","exons.group","exons.group_name","exons.seqnames","exons.start","exons.end","exons.width","exons.strand","exons.exon_id","exons.gene_name"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48814109,48814826,718,"+","ENSMUSE00000758336","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48870289,48870496,208,"+","ENSMUSE00000389709","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48873057,48873166,110,"+","ENSMUSE00000162461","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48873319,48873473,155,"+","ENSMUSE00000162458","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48890298,48890441,144,"+","ENSMUSE00000162460","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48890389,48890441,53,"+","ENSMUSE00000807330","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48892129,48892272,144,"+","ENSMUSE00001222256","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48892129,48892272,144,"+","ENSMUSE00001283151","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48893507,48893652,146,"+","ENSMUSE00001263535","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48893507,48893652,146,"+","ENSMUSE00001253099","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48894666,48894780,115,"+","ENSMUSE00001214960","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48894666,48894780,115,"+","ENSMUSE00001312957","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48896972,48897110,139,"+","ENSMUSE00001222186","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48896972,48897110,139,"+","ENSMUSE00001300620","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48898478,48898608,131,"+","ENSMUSE00000162457","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48899594,48903269,3676,"+","ENSMUSE00000837469","Acvr2a"
