"gene_name","gene_id","number_of_transcripts","number_of_exons"
"Acvr2a","ENSMUSG00000052155",2,17
"Bmp4","ENSMUSG00000021835",3,8
"Bmpr1a","ENSMUSG00000021796",4,20
"Ctnna1","ENSMUSG00000037815",1,18
"Ctnnb1","ENSMUSG00000006932",14,65
"Dicer1","ENSMUSG00000041415",1,27
"Fgfr2","ENSMUSG00000030849",26,61
"Inhba","ENSMUSG00000041324",2,7
"Lef1","ENSMUSG00000027985",6,20
"Msx1","ENSMUSG00000048450",2,3
"Pax9","ENSMUSG00000001497",3,10
"Pitx2","ENSMUSG00000028023",8,20
"Runx2","ENSMUSG00000039153",13,38
"Shh","ENSMUSG00000002633",1,3
"Trp63","ENSMUSG00000022510",8,21
"Apc","ENSMUSG00000005871",9,45
"Barx1","ENSMUSG00000021381",1,4
"Bcl11b","ENSMUSG00000048251",3,6
"Bmp2","ENSMUSG00000027358",1,3
"Bmp7","ENSMUSG00000008999",2,9
"Chuk","ENSMUSG00000025199",8,54
"Eda","ENSMUSG00000059327",12,30
"Edar","ENSMUSG00000003227",1,12
"Edaradd","ENSMUSG00000095105",1,6
"Evc","ENSMUSG00000029122",9,54
"Fgf10","ENSMUSG00000021732",3,11
"Fgf20","ENSMUSG00000031603",2,5
"Fgf3","ENSMUSG00000031074",2,6
"Foxi3","ENSMUSG00000055874",2,4
"Fst","ENSMUSG00000021765",1,6
"Gas1","ENSMUSG00000052957",1,1
"Jag2","ENSMUSG00000002799",1,26
"Lrp4","ENSMUSG00000027253",4,55
"Msx2","ENSMUSG00000021469",2,3
"Pdgfra","ENSMUSG00000029231",2,24
"Rps6ka3","ENSMUSG00000031309",9,44
"Smo","ENSMUSG00000001761",1,12
"Sostdc1","ENSMUSG00000036169",1,2
