"gene_name","class","HapploSufficient","mouse_gene_id","mouse_number_of_transcripts","mouse_number_of_exons","rat_gene_id","rat_number_of_transcripts","rat_number_of_exons"
"Acvr2a","progression","Yes","ENSMUSG00000052155",2,17,"ENSRNOG00000005334",1,11
"Bmp4","progression","Yes?","ENSMUSG00000021835",4,10,"ENSRNOG00000009694",2,6
"Bmpr1a","progression","Yes","ENSMUSG00000021796",4,20,"ENSRNOG00000052469",1,12
"Ctnna1","progression","Yes?","ENSMUSG00000037815",11,55,"ENSRNOG00000005796",2,22
"Ctnnb1","progression","Yes?","ENSMUSG00000006932",15,66,"ENSRNOG00000054172",1,14
"Dicer1","progression","Yes?","ENSMUSG00000041415",6,58,"ENSRNOG00000010711",1,26
"Fgfr2","progression","Yes","ENSMUSG00000030849",27,62,"ENSRNOG00000016374",4,19
"Inhba","progression","Yes?","ENSMUSG00000041324",2,7,"ENSRNOG00000014320",1,3
"Lef1","progression","Yes","ENSMUSG00000027985",8,29,"ENSRNOG00000010121",1,12
"Msx1","progression","Yes?","ENSMUSG00000048450",2,3,"ENSRNOG00000006876",1,2
"Pax9","progression","Yes","ENSMUSG00000001497",3,10,"ENSRNOG00000008826",1,4
"Pitx2","progression","Yes","ENSMUSG00000028023",8,19,"ENSRNOG00000010681",2,6
"Runx2","progression","Yes","ENSMUSG00000039153",14,39,"ENSRNOG00000020193",1,9
"Shh","progression","Yes","ENSMUSG00000002633",1,3,"ENSRNOG00000006120",1,3
"Trp63","progression","Yes?","ENSMUSG00000022510",8,21,NA,NA,NA
"Apc","shape","Yes","ENSMUSG00000005871",9,45,"ENSRNOG00000020423",2,18
"Barx1","shape","Yes","ENSMUSG00000021381",1,4,"ENSRNOG00000016915",1,4
"Bcl11b","shape","Yes?","ENSMUSG00000048251",3,6,"ENSRNOG00000005776",3,6
"Bmp2","shape","Yes","ENSMUSG00000027358",1,3,"ENSRNOG00000021276",1,3
"Bmp7","shape","Yes","ENSMUSG00000008999",2,9,"ENSRNOG00000053384",1,7
"Chuk","shape","Yes","ENSMUSG00000025199",8,54,"ENSRNOG00000022485",1,21
"Eda","shape","Yes","ENSMUSG00000059327",12,30,"ENSRNOG00000032208",3,13
