"gene_name","gene_id","number_of_transcripts","number_of_exons"
"Acvr2a","ENSRNOG00000005334",1,11
"Bmp4","ENSRNOG00000009694",2,6
"Bmpr1a","ENSRNOG00000052469",1,12
"Ctnna1","ENSRNOG00000005796",2,22
"Ctnnb1","ENSRNOG00000054172",1,14
"Dicer1","ENSRNOG00000010711",1,26
"Fgfr2","ENSRNOG00000016374",4,19
"Inhba","ENSRNOG00000014320",1,3
"Lef1","ENSRNOG00000010121",1,12
"Msx1","ENSRNOG00000006876",1,2
"Pax9","ENSRNOG00000008826",1,4
"Pitx2","ENSRNOG00000010681",2,6
"Runx2","ENSRNOG00000020193",1,9
"Shh","ENSRNOG00000006120",1,3
"Apc","ENSRNOG00000020423",2,18
"Barx1","ENSRNOG00000016915",1,4
"Bcl11b","ENSRNOG00000005776",3,6
"Bmp2","ENSRNOG00000021276",1,3
"Bmp7","ENSRNOG00000053384",1,7
"Chuk","ENSRNOG00000022485",1,21
"Eda","ENSRNOG00000032208",3,13
"Edar","ENSRNOG00000028598",1,12
"Edaradd","ENSRNOG00000002624",1,6
"Evc","ENSRNOG00000007564",1,21
"Fgf10","ENSRNOG00000012278",1,3
"Fgf20","ENSRNOG00000000109",1,3
"Fgf3","ENSRNOG00000020888",1,3
"Foxi3","ENSRNOG00000006491",1,2
"Fst","ENSRNOG00000011631",1,6
"Gas1","ENSRNOG00000050485",1,1
"Jag2","ENSRNOG00000013927",1,25
"Lrp4","ENSRNOG00000015285",2,40
"Msx2","ENSRNOG00000018355",1,2
"Pdgfra","ENSRNOG00000002244",1,23
"Rps6ka3","ENSRNOG00000006632",1,22
"Smo","ENSRNOG00000008332",2,14
"Sostdc1","ENSRNOG00000005770",1,2
"Sp6","ENSRNOG00000023551",1,2
"Spry2","ENSRNOG00000010058",1,2
"Spry4","ENSRNOG00000013851",1,2
"Wnt10a","ENSRNOG00000052510",1,4
"Yap1","ENSRNOG00000005933",5,18
"Alpl","ENSRNOG00000013954",2,18
"Ambn","ENSRNOG00000003718",1,11
"Amelx","ENSRNOG00000003965",5,12
"Amtn","ENSRNOG00000003776",1,9
"Bmi1","ENSRNOG00000016585",1,10
"Dmp1","ENSRNOG00000002167",1,5
"Dspp","ENSRNOG00000002168",2,6
"Enam","ENSRNOG00000003672",1,10
"Evc2","ENSRNOG00000007025",1,20
"Fam20a","ENSRNOG00000003969",1,11
"Fam20c","ENSRNOG00000001314",1,10
"Fgfr1","ENSRNOG00000016050",2,21
"Gdnf","ENSRNOG00000012819",1,3
"Grem2","ENSRNOG00000003616",1,2
"Klk4","ENSRNOG00000018864",1,6
"Mmp14","ENSRNOG00000010947",1,10
"Mmp20","ENSRNOG00000021896",1,10
"Mtor","ENSRNOG00000009615",2,61
"Nectin1","ENSRNOG00000006403",1,6
"Perp","ENSRNOG00000011994",1,3
"Pkd2","ENSRNOG00000002146",1,15
"Postn","ENSRNOG00000012660",2,24
"Slc13a5","ENSRNOG00000014870",1,13
"Slc39a13","ENSRNOG00000011981",1,10
"Sp3","ENSRNOG00000060479",1,6
"Sppl2a","ENSRNOG00000011652",2,18
"Acvr2b","ENSRNOG00000014477",1,11
"Dlx1","ENSRNOG00000001520",1,3
"Dlx2","ENSRNOG00000001519",1,3
"Dlx3","ENSRNOG00000004278",1,3
"Dlx4","ENSRNOG00000004399",1,3
"Dlx5","ENSRNOG00000010905",1,3
"Dlx6","ENSRNOG00000010822",1,3
"Gli2","ENSRNOG00000007261",1,14
"Gli3","ENSRNOG00000014395",2,21
"Lhx6","ENSRNOG00000005996",1,10
"Lhx8","ENSRNOG00000028348",1,8
"Csf1","ENSRNOG00000018659",3,15
"Fos","ENSRNOG00000008015",1,4
"Ostm1","ENSRNOG00000037647",1,6
"Tcirg1","ENSRNOG00000017220",2,29
"Traf6","ENSRNOG00000004639",1,7
