"gene_name","gene_ensembl_id","exons.group","exons.group_name","exons.seqnames","exons.start","exons.end","exons.width","exons.strand","exons.exon_id","exons.gene_name"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",32947378,32948041,664,"+","ENSRNOE00000464812","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33003598,33003805,208,"+","ENSRNOE00000050515","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33006347,33006456,110,"+","ENSRNOE00000050629","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33006643,33006797,155,"+","ENSRNOE00000050733","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33021453,33021596,144,"+","ENSRNOE00000050844","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33023269,33023412,144,"+","ENSRNOE00000050956","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33024646,33024791,146,"+","ENSRNOE00000051058","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33026242,33026356,115,"+","ENSRNOE00000051167","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33028397,33028535,139,"+","ENSRNOE00000051286","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33030644,33030774,131,"+","ENSRNOE00000051388","Acvr2a"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",33031746,33034282,2537,"+","ENSRNOE00000248741","Acvr2a"
"Bmp4","ENSRNOG00000009694",1,"ENSRNOG00000009694","15",20822540,20822740,201,"-","ENSRNOE00000532065","Bmp4"
"Bmp4","ENSRNOG00000009694",1,"ENSRNOG00000009694","15",20782797,20783063,267,"-","ENSRNOE00000543006","Bmp4"
"Bmp4","ENSRNOG00000009694",1,"ENSRNOG00000009694","15",20779672,20779796,125,"-","ENSRNOE00000091280","Bmp4"
"Bmp4","ENSRNOG00000009694",1,"ENSRNOG00000009694","15",20778243,20778622,380,"-","ENSRNOE00000210976","Bmp4"
"Bmp4","ENSRNOG00000009694",1,"ENSRNOG00000009694","15",20776054,20777239,1186,"-","ENSRNOE00000544336","Bmp4"
"Bmp4","ENSRNOG00000009694",1,"ENSRNOG00000009694","15",20776254,20777239,986,"-","ENSRNOE00000091521","Bmp4"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10802435,10802512,78,"-","ENSRNOE00000532986","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10788946,10789158,213,"-","ENSRNOE00000559166","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10784643,10784805,163,"-","ENSRNOE00000541618","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10782168,10782270,103,"-","ENSRNOE00000564135","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10776850,10776946,97,"-","ENSRNOE00000574033","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10776618,10776717,100,"-","ENSRNOE00000535973","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10773213,10773357,145,"-","ENSRNOE00000524689","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10769701,10769893,193,"-","ENSRNOE00000522485","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10766351,10766648,298,"-","ENSRNOE00000531435","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10761121,10761296,176,"-","ENSRNOE00000552778","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10760064,10760194,131,"-","ENSRNOE00000544160","Bmpr1a"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10758527,10759978,1452,"-","ENSRNOE00000547008","Bmpr1a"
"Ctnna1","ENSRNOG00000005796",1,"ENSRNOG00000005796","18",27923572,27923637,66,"+","ENSRNOE00000347963","Ctnna1"
