"gene_name","gene_ensembl_id","transcripts.group","transcripts.group_name","transcripts.seqnames","transcripts.start","transcripts.end","transcripts.width","transcripts.strand","transcripts.gene_name"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48814109,48903269,89161,"+","Acvr2a"
"Acvr2a","ENSMUSG00000052155",1,"ENSMUSG00000052155","2",48890389,48900248,9860,"+","Acvr2a"
"Bmp4","ENSMUSG00000021835",1,"ENSMUSG00000021835","14",46383520,46390669,7150,"-","Bmp4"
"Bmp4","ENSMUSG00000021835",1,"ENSMUSG00000021835","14",46383707,46390550,6844,"-","Bmp4"
"Bmp4","ENSMUSG00000021835",1,"ENSMUSG00000021835","14",46386996,46390535,3540,"-","Bmp4"
"Bmp4","ENSMUSG00000021835",1,"ENSMUSG00000021835","14",46385986,46387304,1319,"-","Bmp4"
"Bmpr1a","ENSMUSG00000021796",1,"ENSMUSG00000021796","14",34441106,34503341,62236,"-","Bmpr1a"
"Bmpr1a","ENSMUSG00000021796",1,"ENSMUSG00000021796","14",34410734,34502687,91954,"-","Bmpr1a"
"Bmpr1a","ENSMUSG00000021796",1,"ENSMUSG00000021796","14",34443933,34502528,58596,"-","Bmpr1a"
"Bmpr1a","ENSMUSG00000021796",1,"ENSMUSG00000021796","14",34414486,34460556,46071,"-","Bmpr1a"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35118859,35254779,135921,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35118883,35175651,56769,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35118887,35183050,64164,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35118913,35223524,104612,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35119442,35174419,54978,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35152599,35253905,101307,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35214930,35239470,24541,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35214956,35223575,8620,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35249373,35251210,1838,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35250942,35251737,796,"+","Ctnna1"
"Ctnna1","ENSMUSG00000037815",1,"ENSMUSG00000037815","18",35252321,35253719,1399,"+","Ctnna1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120929216,120950635,21420,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120933400,120960507,27108,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120933475,120960506,27032,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120933486,120956447,22962,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120933572,120959780,26209,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120933623,120951710,18088,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120933818,120951293,17476,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120950221,120959517,9297,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120951089,120955399,4311,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120955125,120955841,717,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120955297,120957639,2343,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120955457,120957534,2078,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120955914,120959025,3112,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120956867,120957824,958,"+","Ctnnb1"
"Ctnnb1","ENSMUSG00000006932",1,"ENSMUSG00000006932","9",120959216,120960507,1292,"+","Ctnnb1"
"Dicer1","ENSMUSG00000041415",1,"ENSMUSG00000041415","12",104687742,104751952,64211,"-","Dicer1"
"Dicer1","ENSMUSG00000041415",1,"ENSMUSG00000041415","12",104722084,104738837,16754,"-","Dicer1"
"Dicer1","ENSMUSG00000041415",1,"ENSMUSG00000041415","12",104721757,104730164,8408,"-","Dicer1"
"Dicer1","ENSMUSG00000041415",1,"ENSMUSG00000041415","12",104691428,104722052,30625,"-","Dicer1"
"Dicer1","ENSMUSG00000041415",1,"ENSMUSG00000041415","12",104691443,104700502,9060,"-","Dicer1"
"Dicer1","ENSMUSG00000041415",1,"ENSMUSG00000041415","12",104697346,104700502,3157,"-","Dicer1"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130162451,133123350,2960900,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130162451,130266263,103813,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130262275,130266255,3981,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130162512,130266245,103734,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130162512,130266245,103734,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163709,130266191,102483,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130241029,130263975,22947,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163959,130261857,97899,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130199807,130228756,28950,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130180471,130196845,16375,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130184911,130196357,11447,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130177780,130182778,4999,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130169742,130178064,8323,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163808,130171914,8107,"-","Fgfr2"
"Fgfr2","ENSMUSG00000030849",1,"ENSMUSG00000030849","7",130163608,130167884,4277,"-","Fgfr2"
"Inhba","ENSMUSG00000041324",1,"ENSMUSG00000041324","13",16011851,16031621,19771,"+","Inhba"
"Inhba","ENSMUSG00000041324",1,"ENSMUSG00000041324","13",16014475,16027211,12737,"+","Inhba"
"Lef1","ENSMUSG00000027985",1,"ENSMUSG00000027985","3",131110471,131224356,113886,"+","Lef1"
"Lef1","ENSMUSG00000027985",1,"ENSMUSG00000027985","3",131110471,131224356,113886,"+","Lef1"
"Lef1","ENSMUSG00000027985",1,"ENSMUSG00000027985","3",131110471,131224356,113886,"+","Lef1"
