"gene_name","gene_ensembl_id","transcripts.group","transcripts.group_name","transcripts.seqnames","transcripts.start","transcripts.end","transcripts.width","transcripts.strand","transcripts.tx_id","transcripts.tx_biotype","transcripts.gene_name"
"Acvr2a","ENSRNOG00000005334",1,"ENSRNOG00000005334","3",32947378,33034282,86905,"+","ENSRNOT00000007404","protein_coding","Acvr2a"
"Bmp4","ENSRNOG00000009694",1,"ENSRNOG00000009694","15",20776054,20822740,46687,"-","ENSRNOT00000012957","protein_coding","Bmp4"
"Bmp4","ENSRNOG00000009694",1,"ENSRNOG00000009694","15",20776254,20783063,6810,"-","ENSRNOT00000083268","protein_coding","Bmp4"
"Bmpr1a","ENSRNOG00000052469",1,"ENSRNOG00000052469","16",10758527,10802512,43986,"-","ENSRNOT00000079554","protein_coding","Bmpr1a"
"Ctnna1","ENSRNOG00000005796",1,"ENSRNOG00000005796","18",27923572,28055960,132389,"+","ENSRNOT00000008041","protein_coding","Ctnna1"
"Ctnna1","ENSRNOG00000005796",1,"ENSRNOG00000005796","18",27956429,28054203,97775,"+","ENSRNOT00000080999","protein_coding","Ctnna1"
"Ctnnb1","ENSRNOG00000054172",1,"ENSRNOG00000054172","8",129617812,129627372,9561,"+","ENSRNOT00000079085","protein_coding","Ctnnb1"
"Dicer1","ENSRNOG00000010711",1,"ENSRNOG00000010711","6",128388053,128434183,46131,"-","ENSRNOT00000014405","protein_coding","Dicer1"
"Fgfr2","ENSRNOG00000016374",1,"ENSRNOG00000016374","1",200590953,200696928,105976,"-","ENSRNOT00000068183","protein_coding","Fgfr2"
"Fgfr2","ENSRNOG00000016374",1,"ENSRNOG00000016374","1",200590953,200696928,105976,"-","ENSRNOT00000022253","protein_coding","Fgfr2"
"Fgfr2","ENSRNOG00000016374",1,"ENSRNOG00000016374","1",200590953,200696928,105976,"-","ENSRNOT00000065448","protein_coding","Fgfr2"
"Fgfr2","ENSRNOG00000016374",1,"ENSRNOG00000016374","1",200590953,200696928,105976,"-","ENSRNOT00000022331","protein_coding","Fgfr2"
"Inhba","ENSRNOG00000014320",1,"ENSRNOG00000014320","17",51898217,51912496,14280,"-","ENSRNOT00000019272","protein_coding","Inhba"
"Lef1","ENSRNOG00000010121",1,"ENSRNOG00000010121","2",236233239,236345056,111818,"+","ENSRNOT00000013694","protein_coding","Lef1"
"Msx1","ENSRNOG00000006876",1,"ENSRNOG00000006876","14",77712240,77716059,3820,"+","ENSRNOT00000009101","protein_coding","Msx1"
