"gene_name","ensembl_id","exons.group","exons.group_name","exons.seqnames","exons.start","exons.end","exons.width","exons.strand","exons.exon_id","exons.gene_name","exons.exon_rank"
"Acvr2a",0,1,"ENSMUST00000063886","2",48814109,48814826,718,"+","ENSMUSE00000758336","Acvr2a",1
"Acvr2a",0,1,"ENSMUST00000063886","2",48870289,48870496,208,"+","ENSMUSE00000389709","Acvr2a",2
"Acvr2a",0,1,"ENSMUST00000063886","2",48873057,48873166,110,"+","ENSMUSE00000162461","Acvr2a",3
"Acvr2a",0,1,"ENSMUST00000063886","2",48873319,48873473,155,"+","ENSMUSE00000162458","Acvr2a",4
"Acvr2a",0,1,"ENSMUST00000063886","2",48890298,48890441,144,"+","ENSMUSE00000162460","Acvr2a",5
"Acvr2a",0,1,"ENSMUST00000063886","2",48892129,48892272,144,"+","ENSMUSE00001222256","Acvr2a",6
"Acvr2a",0,1,"ENSMUST00000063886","2",48893507,48893652,146,"+","ENSMUSE00001263535","Acvr2a",7
"Acvr2a",0,1,"ENSMUST00000063886","2",48894666,48894780,115,"+","ENSMUSE00001214960","Acvr2a",8
"Acvr2a",0,1,"ENSMUST00000063886","2",48896972,48897110,139,"+","ENSMUSE00001222186","Acvr2a",9
"Acvr2a",0,1,"ENSMUST00000063886","2",48898478,48898608,131,"+","ENSMUSE00000162457","Acvr2a",10
"Acvr2a",0,1,"ENSMUST00000063886","2",48899594,48903269,3676,"+","ENSMUSE00000837469","Acvr2a",11
"Acvr2a",0,2,"ENSMUST00000156681","2",48890389,48890441,53,"+","ENSMUSE00000807330","Acvr2a",1
"Acvr2a",0,2,"ENSMUST00000156681","2",48892129,48892272,144,"+","ENSMUSE00001283151","Acvr2a",2
"Acvr2a",0,2,"ENSMUST00000156681","2",48893507,48893652,146,"+","ENSMUSE00001253099","Acvr2a",3
"Acvr2a",0,2,"ENSMUST00000156681","2",48894666,48894780,115,"+","ENSMUSE00001312957","Acvr2a",4
"Acvr2a",0,2,"ENSMUST00000156681","2",48896972,48897110,139,"+","ENSMUSE00001300620","Acvr2a",5
"Acvr2a",0,2,"ENSMUST00000156681","2",48899594,48900248,655,"+","ENSMUSE00000760604","Acvr2a",6
"Bmp4",0,1,"ENSMUST00000074077","14",46390304,46390669,366,"-","ENSMUSE00000499195","Bmp4",1
"Bmp4",0,1,"ENSMUST00000074077","14",46387156,46387280,125,"-","ENSMUSE00000561261","Bmp4",2
"Bmp4",0,1,"ENSMUST00000074077","14",46385715,46386094,380,"-","ENSMUSE00000561269","Bmp4",3
"Bmp4",0,1,"ENSMUST00000074077","14",46383520,46384712,1193,"-","ENSMUSE00000689126","Bmp4",4
"Bmp4",0,2,"ENSMUST00000100676","14",46390304,46390550,247,"-","ENSMUSE00000649408","Bmp4",1
"Bmp4",0,2,"ENSMUST00000100676","14",46385715,46386094,380,"-","ENSMUSE00000561269","Bmp4",2
"Bmp4",0,2,"ENSMUST00000100676","14",46383707,46384712,1006,"-","ENSMUSE00000490169","Bmp4",3
"Bmp4",0,3,"ENSMUST00000135408","14",46390304,46390535,232,"-","ENSMUSE00000742189","Bmp4",1
"Bmp4",0,3,"ENSMUST00000135408","14",46386996,46387280,285,"-","ENSMUSE00000737067","Bmp4",2
"Bmpr1a",0,1,"ENSMUST00000049005","14",34502395,34502687,293,"-","ENSMUSE00000906173","Bmpr1a",1
"Bmpr1a",0,1,"ENSMUST00000049005","14",34460499,34460612,114,"-","ENSMUSE00000510636","Bmpr1a",2
"Bmpr1a",0,1,"ENSMUST00000049005","14",34447772,34447978,207,"-","ENSMUSE00000453349","Bmpr1a",3
"Bmpr1a",0,1,"ENSMUST00000049005","14",34443819,34443981,163,"-","ENSMUSE00000120941","Bmpr1a",4
"Bmpr1a",0,1,"ENSMUST00000049005","14",34441099,34441201,103,"-","ENSMUSE00000120937","Bmpr1a",5
"Bmpr1a",0,1,"ENSMUST00000049005","14",34434638,34434734,97,"-","ENSMUSE00000221789","Bmpr1a",6
"Bmpr1a",0,1,"ENSMUST00000049005","14",34434379,34434478,100,"-","ENSMUSE00000120936","Bmpr1a",7
"Bmpr1a",0,1,"ENSMUST00000049005","14",34429656,34429800,145,"-","ENSMUSE00000120942","Bmpr1a",8
"Bmpr1a",0,1,"ENSMUST00000049005","14",34424946,34425138,193,"-","ENSMUSE00000561696","Bmpr1a",9
"Bmpr1a",0,1,"ENSMUST00000049005","14",34422560,34422857,298,"-","ENSMUSE00000561695","Bmpr1a",10
"Bmpr1a",0,1,"ENSMUST00000049005","14",34415707,34415882,176,"-","ENSMUSE00000561694","Bmpr1a",11
"Bmpr1a",0,1,"ENSMUST00000049005","14",34414760,34414890,131,"-","ENSMUSE00000221719","Bmpr1a",12
"Bmpr1a",0,1,"ENSMUST00000049005","14",34410734,34414669,3936,"-","ENSMUSE00000120934","Bmpr1a",13
"Bmpr1a",0,2,"ENSMUST00000165280","14",34460499,34460556,58,"-","ENSMUSE00000899064","Bmpr1a",1
"Bmpr1a",0,2,"ENSMUST00000165280","14",34447772,34447978,207,"-","ENSMUSE00000453349","Bmpr1a",2
"Bmpr1a",0,2,"ENSMUST00000165280","14",34443819,34443981,163,"-","ENSMUSE00000120941","Bmpr1a",3
"Bmpr1a",0,2,"ENSMUST00000165280","14",34441099,34441201,103,"-","ENSMUSE00000120937","Bmpr1a",4
"Bmpr1a",0,2,"ENSMUST00000165280","14",34434638,34434734,97,"-","ENSMUSE00000221789","Bmpr1a",5
"Bmpr1a",0,2,"ENSMUST00000165280","14",34434379,34434478,100,"-","ENSMUSE00000120936","Bmpr1a",6
"Bmpr1a",0,2,"ENSMUST00000165280","14",34429656,34429800,145,"-","ENSMUSE00000120942","Bmpr1a",7
"Bmpr1a",0,2,"ENSMUST00000165280","14",34424946,34425138,193,"-","ENSMUSE00000561696","Bmpr1a",8
"Bmpr1a",0,2,"ENSMUST00000165280","14",34422560,34422857,298,"-","ENSMUSE00000561695","Bmpr1a",9
