"","ensembl_gene_id","rnorvegicus_homolog_ensembl_gene"
"7","ENSMUSG00000042208","ENSRNOG00000054669"
"8","ENSMUSG00000020831","ENSRNOG00000018829"
"12","ENSMUSG00000058706","ENSRNOG00000011713"
"20","ENSMUSG00000060512","ENSRNOG00000002191"
"33","ENSMUSG00000030663","ENSRNOG00000053659"
"36","ENSMUSG00000039195","ENSRNOG00000022681"
"37","ENSMUSG00000045237","ENSRNOG00000037352"
"40","ENSMUSG00000028441","ENSRNOG00000013320"
"49","ENSMUSG00000037971","ENSRNOG00000030962"
"50","ENSMUSG00000046999","ENSRNOG00000009803"
"53","ENSMUSG00000063236","ENSRNOG00000034107"
"55","ENSMUSG00000040591","ENSRNOG00000014798"
"57","ENSMUSG00000035171","ENSRNOG00000027161"
"58","ENSMUSG00000032551","ENSRNOG00000004135"
"60","ENSMUSG00000078570","ENSRNOG00000042421"
"63","ENSMUSG00000063320","ENSRNOG00000026982"
"68","ENSMUSG00000033688","ENSRNOG00000009434"
"73","ENSMUSG00000068099","ENSRNOG00000043197"
"85","ENSMUSG00000043747","ENSRNOG00000028231"
"88","ENSMUSG00000050088","ENSRNOG00000015597"
"90","ENSMUSG00000054676","ENSRNOG00000014966"
"105","ENSMUSG00000047150","ENSRNOG00000015386"
"122","ENSMUSG00000056508","ENSRNOG00000007184"
"125","ENSMUSG00000021534","ENSRNOG00000047406"
"127","ENSMUSG00000044320","ENSRNOG00000018486"
"128","ENSMUSG00000018543","ENSRNOG00000036888"
"131","ENSMUSG00000030030","ENSRNOG00000009917"
"133","ENSMUSG00000038523","ENSRNOG00000016583"
"144","ENSMUSG00000027973","ENSRNOG00000024928"
"153","ENSMUSG00000026831","ENSRNOG00000010152"
"168","ENSMUSG00000028287","ENSRNOG00000031013"
"175","ENSMUSG00000023873","ENSRNOG00000011243"
"185","ENSMUSG00000031682","ENSRNOG00000011671"
"187","ENSMUSG00000029766","ENSRNOG00000027055"
"188","ENSMUSG00000020617","ENSRNOG00000024233"
"189","ENSMUSG00000031927","ENSRNOG00000009203"
"198","ENSMUSG00000028589","ENSRNOG00000043039"
"201","ENSMUSG00000027886","ENSRNOG00000020307"
"202","ENSMUSG00000041399","ENSRNOG00000013566"
"206","ENSMUSG00000051054","ENSRNOG00000042026"
"211","ENSMUSG00000079666","ENSRNOG00000051419"
"212","ENSMUSG00000094445","ENSRNOG00000049297"
"219","ENSMUSG00000015962","ENSRNOG00000021411"
"220","ENSMUSG00000031509","ENSRNOG00000053136"
"225","ENSMUSG00000029320","ENSRNOG00000060245"
"228","ENSMUSG00000053783","ENSRNOG00000025287"
"232","ENSMUSG00000032300","ENSRNOG00000018689"
"241","ENSMUSG00000056912","ENSRNOG00000051928"
"245","ENSMUSG00000031809","ENSRNOG00000050028"
"255","ENSMUSG00000043629","ENSRNOG00000038738"
"262","ENSMUSG00000026931","ENSRNOG00000025953"
"264","ENSMUSG00000027409","ENSRNOG00000047004"
"265","ENSMUSG00000100937","ENSRNOG00000055506"
"272","ENSMUSG00000050844","ENSRNOG00000059251"
"278","ENSMUSG00000027518","ENSRNOG00000028533"
"290","ENSMUSG00000028451","ENSRNOG00000022601"
"320","ENSMUSG00000072473","ENSRNOG00000039749"
"328","ENSMUSG00000032666","ENSRNOG00000028236"
"355","ENSMUSG00000089798","ENSRNOG00000047876"
"358","ENSMUSG00000033053","ENSRNOG00000036615"
"364","ENSMUSG00000031452","ENSRNOG00000026740"
"365","ENSMUSG00000044916","ENSRNOG00000006884"
"367","ENSMUSG00000071103","ENSRNOG00000038819"
"371","ENSMUSG00000061633","ENSRNOG00000005572"
"382","ENSMUSG00000031847","ENSRNOG00000045541"
"383","ENSMUSG00000052794","ENSRNOG00000023700"
"397","ENSMUSG00000024532","ENSRNOG00000018724"
"403","ENSMUSG00000074619","ENSRNOG00000061390"
"406","ENSMUSG00000040163","ENSRNOG00000026864"
"413","ENSMUSG00000005983","ENSRNOG00000007268"
"415","ENSMUSG00000027327","ENSRNOG00000021245"
"433","ENSMUSG00000078593","ENSRNOG00000049874"
"518","ENSMUSG00000044854","ENSRNOG00000004066"
"520","ENSMUSG00000074139","ENSRNOG00000030551"
"555","ENSMUSG00000073598","ENSRNOG00000039592"
"558","ENSMUSG00000038323","ENSRNOG00000010185"
"562","ENSMUSG00000046408","ENSRNOG00000005533"
"567","ENSMUSG00000042184","ENSRNOG00000058142"
"578","ENSMUSG00000029883","ENSRNOG00000028989"
"612","ENSMUSG00000033029","ENSRNOG00000011170"
"620","ENSMUSG00000090840","ENSRNOG00000048966"
"622","ENSMUSG00000020286","ENSRNOG00000051590"
"623","ENSMUSG00000118506","ENSRNOG00000037406"
"646","ENSMUSG00000032611","ENSRNOG00000046155"
"658","ENSMUSG00000008307","ENSRNOG00000009135"
"677","ENSMUSG00000047129","ENSRNOG00000038943"
"706","ENSMUSG00000072878","ENSRNOG00000024560"
"709","ENSMUSG00000040822","ENSRNOG00000029146"
"716","ENSMUSG00000018479","ENSRNOG00000003143"
"725","ENSMUSG00000021977","ENSRNOG00000053522"
"734","ENSMUSG00000078607","ENSRNOG00000043295"
"739","ENSMUSG00000022507","ENSRNOG00000002545"
"746","ENSMUSG00000089997","ENSRNOG00000031408"
"748","ENSMUSG00000044145","ENSRNOG00000055769"
"751","ENSMUSG00000044148","ENSRNOG00000023187"
"754","ENSMUSG00000054091","ENSRNOG00000014654"
"758","ENSMUSG00000036027","ENSRNOG00000012022"
"762","ENSMUSG00000035372","ENSRNOG00000025245"
"763","ENSMUSG00000073155","ENSRNOG00000046109"
"771","ENSMUSG00000013653","ENSRNOG00000053179"
"776","ENSMUSG00000042041","ENSRNOG00000036641"
"785","ENSMUSG00000025528","ENSRNOG00000022411"
"794","ENSMUSG00000026090","ENSRNOG00000018366"
"808","ENSMUSG00000013083","ENSRNOG00000037485"
"811","ENSMUSG00000029882","ENSRNOG00000013382"
"813","ENSMUSG00000021550","ENSRNOG00000019232"
"814","ENSMUSG00000029559","ENSRNOG00000001185"
"821","ENSMUSG00000037145","ENSRNOG00000038422"
"823","ENSMUSG00000071252","ENSRNOG00000045639"
"835","ENSMUSG00000032403","ENSRNOG00000008340"
"841","ENSMUSG00000028396","ENSRNOG00000045733"
"842","ENSMUSG00000007457","ENSRNOG00000023430"
"847","ENSMUSG00000079283","ENSRNOG00000043374"
"849","ENSMUSG00000020133","ENSRNOG00000016399"
"859","ENSMUSG00000049643","ENSRNOG00000018408"
"860","ENSMUSG00000031983","ENSRNOG00000018836"
"864","ENSMUSG00000032062","ENSRNOG00000051792"
"865","ENSMUSG00000020441","ENSRNOG00000002944"
"870","ENSMUSG00000062619","ENSRNOG00000046871"
"884","ENSMUSG00000090314","ENSRNOG00000023511"
"885","ENSMUSG00000015519","ENSRNOG00000012581"
"886","ENSMUSG00000040177","ENSRNOG00000020597"
"887","ENSMUSG00000048830","ENSRNOG00000042680"
"889","ENSMUSG00000050705","ENSRNOG00000000812"
"897","ENSMUSG00000045331","ENSRNOG00000050096"
"900","ENSMUSG00000045411","ENSRNOG00000019132"
"903","ENSMUSG00000036873","ENSRNOG00000014857"
"915","ENSMUSG00000032840","ENSRNOG00000001123"
"925","ENSMUSG00000043391","ENSRNOG00000001767"
"928","ENSMUSG00000044496","ENSRNOG00000007968"
"935","ENSMUSG00000031242","ENSRNOG00000002323"
